,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file_name,utm_hemisphere,utm_zone,area_utm_easting_meters,area_utm_northing_meters,context_number,find_number,shape_description,inclusion_size,inclusion_colors,inclusion_types,porosity,exterior_surface,interior_surface,exterior_decoration,wall_thickness,manufacture,burning,fabric_group_name,encrustation,deterioration,fabric_group_examplar,volume_millimeter_cubed,weight_grams,xrf_group,type_group,xmin
14,14,14,14,14,14,14,478130_4419430_1_15,N,38,478130,4419430,1,15,,small,black and white,sand,low,smoothed,,,medium,wheelmade,,grey medium,large interior,,0,,,,,84065
15,15,15,15,15,15,15,478130_4419430_1_16,N,38,478130,4419430,1,16,jar carination,medium,black and white,sand,low,slipped,striations,,5mm,wheelmade,,creamy fine,large interior,,1,3879.2505,6.5,,slipped late,17280
16,16,16,16,16,16,16,478130_4419430_1_17,N,38,478130,4419430,1,17,,medium,black and red,sand,low,smoothed,striations,,thin,wheelmade,,brown light medium-2,large,,0,,,,,15838
17,17,17,17,17,17,17,478130_4419430_1_18,N,38,478130,4419430,1,18,,small,black,sand,low,slipped,,,medium,wheelmade,,grey medium,large interior,,0,,,,,84067
18,18,18,18,18,18,18,478130_4419430_1_19,N,38,478130,4419430,1,19,,small,,sand,low,smoothed,,,medium,wheelmade,,creamy fine,,,0,,,,,15748
19,19,19,19,19,19,19,478130_4419430_1_20,N,38,478130,4419430,1,20,,small,black and gray,sand,low,slipped,,incised lines,thin,wheelmade,,reddish light medium,large interior,,0,,,,,84069
20,20,20,20,20,20,20,478130_4419430_1_21,N,38,478130,4419430,1,21,,medium,black,sand,medium,smoothed,,,thick,built,,grey medium,,,0,,,,,15277
21,21,21,21,21,21,21,478130_4419430_1_22,N,38,478130,4419430,1,22,,medium,black and white,sand,medium,smoothed,rough,,medium,built,,brown light medium-1,,large interior,0,,,,,15960
22,22,22,22,22,22,22,478130_4419430_1_23,N,38,478130,4419430,1,23,,coarse,black,sand,medium,rough,striations,,medium,wheelmade,,reddish medium-2,large,,0,,,,,73513
23,23,23,23,23,23,23,478130_4419430_1_24,N,38,478130,4419430,1,24,,coarse,"black, white and red",sand,medium,slipped,rough,,thick,,,brown light medium-2,small,partial interior,0,,,,,15840
24,24,24,24,24,24,24,478130_4419430_1_25,N,38,478130,4419430,1,25,,small,black,sand,low,smoothed,encrusted,,thick,wheelmade,,creamy fine,large interior,,0,,,,,13325
25,25,25,25,25,25,25,478130_4419430_1_26,N,38,478130,4419430,1,26,,medium,black and white,sand,medium,smoothed,rough,,thick,wheelmade,,reddish light medium,,partial interior,0,,,,,73627
26,26,26,26,26,26,26,478130_4419430_1_27,N,38,478130,4419430,1,27,shoulder,small,,sand,low,slipped,smoothed,incised lines,thin,wheelmade,,reddish light medium,small,,0,,,,,15545
27,27,27,27,27,27,27,478130_4419430_1_28,N,38,478130,4419430,1,28,,medium,black and white,sand,medium,smoothed,,,medium,wheelmade,,brown light medium-2,,,0,,,,,15842
28,28,28,28,28,28,28,478130_4419430_1_29,N,38,478130,4419430,1,29,,medium,black,sand,medium,smoothed,rough and encrusted,,medium,wheelmade,,reddish light medium,large interior,,0,,,,,15547
29,29,29,29,29,29,29,478130_4419430_1_30,N,38,478130,4419430,1,30,,medium,black and red,sand,low,smoothed,,,thick,wheelmade,,grey medium,large interior,,0,,,,,15187
30,30,30,30,30,30,30,478130_4419430_1_31,N,38,478130,4419430,1,31,,medium,black and white,sand,low,rough,,,medium,wheelmade,,brown medium-2,,partial exterior,1,,,,,86981
31,31,31,31,31,31,31,478130_4419430_1_32,N,38,478130,4419430,1,32,,medium,black and white,sand and organic,medium,smoothed,smoothed,Raised band,medium,wheelmade,exterior,brown light medium-1,small,,0,,,,,15958
32,32,32,32,32,32,32,478130_4419430_1_33,N,38,478130,4419430,1,33,,small,black and white,sand,low,smoothed,smoothed,incised line,thin,wheelmade,,reddish light medium,partial exterior,,0,,,,,15549
33,33,33,33,33,33,33,478130_4419430_1_34,N,38,478130,4419430,1,34,,small,"black, white and red",sand,low,smoothed,smoothed,incised lines,thin,wheelmade,,reddish medium,,,0,,,,,84405
34,34,34,34,34,34,34,478130_4419430_1_35,N,38,478130,4419430,1,35,,small,white,sand,low,slipped,smoothed,,medium,wheelmade,,grey medium,,,0,,,,,73651
35,35,35,35,35,35,35,478130_4419430_1_36,N,38,478130,4419430,1,36,,coarse,black and gray,sand,medium,,smoothed,,thick,wheelmade,,grey medium,large exterior,,0,,,,,84071
36,36,36,36,36,36,36,478130_4419430_1_37,N,38,478130,4419430,1,37,,small,black,sand and organic,medium,rough,rough,,medium,,,brown dark coarse-1,,partial interior,1,,,,,83185
37,37,37,37,37,37,37,478130_4419430_1_38,N,38,478130,4419430,1,38,,coarse,black and gray,sand,medium,rough,rough,,medium,,,brown light medium-1,,,0,,,,,15954
38,38,38,38,38,38,38,478130_4419430_1_39,N,38,478130,4419430,1,39,,medium,black,sand,medium,rough,rough,,medium,wheelmade,exterior,brown dark medium-1,partial exterior,partial exterior,1,,,,,83292
39,39,39,39,39,39,39,478130_4419430_1_40,N,38,478130,4419430,1,40,,small,black,sand,medium,slipped,smoothed,,medium,wheelmade,,brown light medium-1,,,0,,,,,15950
40,40,40,40,40,40,40,478130_4419430_1_41,N,38,478130,4419430,1,41,,medium,black and white,sand,medium,smoothed,,,medium,wheelmade,,brown light medium-1,,,0,,,,,15948
41,41,41,41,41,41,41,478130_4419430_1_42,N,38,478130,4419430,1,42,,medium,black,sand,medium,smoothed,rough,,medium,wheelmade,,grey fine,large interior,,0,,,,,15283
42,42,42,42,42,42,42,478130_4419430_1_43,N,38,478130,4419430,1,43,,small,white,sand,low,smoothed,rough,incised line,medium,wheelmade,,brown light medium-2,large interior,,0,,,,,15844
43,43,43,43,43,43,43,478130_4419430_1_44,N,38,478130,4419430,1,44,,medium,black and white,sand,medium,smoothed,smoothed,wave line,medium,wheelmade,,grey fine,small,,0,,,,,14128
44,44,44,44,44,44,44,478130_4419430_1_45,N,38,478130,4419430,1,45,,medium,black and red,sand,low,smoothed,smoothed,incised line,medium,wheelmade,,orange coarse,,,0,,,,,84370
45,45,45,45,45,45,45,478130_4419430_1_46,N,38,478130,4419430,1,46,,medium,black and red,sand,medium,smoothed,,,thick,wheelmade,,reddish light medium,,,0,,,,,84368
46,46,46,46,46,46,46,478130_4419430_1_47,N,38,478130,4419430,1,47,,medium,black and red,sand,medium,rough,smoothed,,thick,wheelmade,,reddish light medium,,,0,,,,,84372
47,47,47,47,47,47,47,478130_4419430_1_48,N,38,478130,4419430,1,48,jar carination,medium,black and red,sand,medium,smoothed,smoothed,,8mm,wheelmade,,brown light medium-2,,,1,14012.668,23.5,,red smoothed jar,17278
48,48,48,48,48,48,48,478130_4419430_1_49,N,38,478130,4419430,1,49,,medium,black and white,sand,high,rough,,,medium,wheelmade,exterior,brown light medium-1,partial exterior,partial exterior,0,,,,,15946
49,49,49,49,49,49,49,478130_4419430_1_50,N,38,478130,4419430,1,50,,medium,black and white,sand,medium,rough,,,medium,,,reddish medium-1,partial exterior,large exterior,0,,,,,15609
50,50,50,50,50,50,50,478130_4419430_1_51,N,38,478130,4419430,1,51,,coarse,black red and white,sand,medium,smoothed,rough,,medium,wheelmade,,reddish medium-2,,partial interior and exterior,0,,,,,73527
51,51,51,51,51,51,51,478130_4419430_1_52,N,38,478130,4419430,1,52,,medium,black red and white,sand and organic,medium,slipped,rough,,medium,handmade,,reddish medium-2,,small interior,0,,,,,84374
52,52,52,52,52,52,52,478130_4419430_1_53,N,38,478130,4419430,1,53,,small,black,sand,low,slipped with striations,smoothed,,thick,wheelmade,,reddish brown medium-1,partial interior,,1,,,,,73629
53,53,53,53,53,53,53,478130_4419430_1_54,N,38,478130,4419430,1,54,pithos body,coarse,black red and white,sand,high,smoothed,rough,,15mm,handmade,,reddish yellow coarse,,,1,32397.2656,49.8,outlier2,chunky pithos,17286
54,54,54,54,54,54,54,478130_4419430_1_55,N,38,478130,4419430,1,55,,coarse,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,,brown dark coarse-1,,,0,,,,,15768
55,55,55,55,55,55,55,478130_4419430_1_56,N,38,478130,4419430,1,56,,small,black,sand,low,smoothed,,,medium,wheelmade,,reddish medium-1,large,,0,,,,,13961
56,56,56,56,56,56,56,478130_4419430_1_57,N,38,478130,4419430,1,57,,coarse,white,sand,low,smoothed,smoothed,,thick,wheelmade,both sides,reddish coarse,small,,0,,,,,15496
57,57,57,57,57,57,57,478130_4419430_1_58,N,38,478130,4419430,1,58,,medium,"black, white and red",sand,high,rough,rough,,thick,,,reddish medium-1,,large exterior,0,,,,,13955
58,58,58,58,58,58,58,478130_4419430_1_59,N,38,478130,4419430,1,59,,medium,black and white,sand,medium,smoothed,,incised lines,thick,wheelmade,,brown medium-1,small interior,,0,,,,,16037
59,59,59,59,59,59,59,478130_4419430_1_60,N,38,478130,4419430,1,60,,small,black,sand,low,smoothed,smoothed,,thick,wheelmade,,grey dark fine,partial interior,,0,,,,,15133
60,60,60,60,60,60,60,478130_4419430_1_61,N,38,478130,4419430,1,61,,small,black,sand,low,smoothed,smoothed,groove lines,medium,wheelmade,,yellowish brown medium,large,,0,,,,,84376
61,61,61,61,61,61,61,478130_4419430_1_62,N,38,478130,4419430,1,62,jar body curve,coarse,black and red,sand,medium,slipped with striations,smoothed,,5mm,wheelmade,,reddish fine,small interior,,1,6874.0576,11.6,,slipped late,17284
62,62,62,62,62,62,62,478130_4419430_1_63,N,38,478130,4419430,1,63,,medium,black and white,sand and organic,medium,smoothed,rough,,medium,wheelmade,interior,grey medium,,partial interior,0,,,,,84378
63,63,63,63,63,63,63,478130_4419430_1_64,N,38,478130,4419430,1,64,,small,black,sand,low,smoothed,smoothed,,thin,wheelmade,,brown dark medium-1,large interior,,0,,,,,69710
64,64,64,64,64,64,64,478130_4419430_1_65,N,38,478130,4419430,1,65,,small,black,sand,low,smoothed,rough,,thick,wheelmade,,grey dark medium,,,0,,,,,73639
65,65,65,65,65,65,65,478130_4419430_1_66,N,38,478130,4419430,1,66,,medium,black and white,sand and organic,medium,smoothed,,incised line,thick,wheelmade,exterior,brown light medium-1,large interior,,0,,,,,15942
66,66,66,66,66,66,66,478130_4419430_1_67,N,38,478130,4419430,1,67,,medium,black and white,sand,medium,smoothed but deteriorated,rough,,medium,wheelmade,,brown light medium-1,,partial interior,0,,,,,15940
67,67,67,67,67,67,67,478130_4419430_1_68,N,38,478130,4419430,1,68,,medium,black and gray,sand,medium,smoothed,smoothed,,medium,wheelmade,exterior,brown light medium-2,,,0,,,,,84380
68,68,68,68,68,68,68,478130_4419430_1_69,N,38,478130,4419430,1,69,jar carination,small,black,sand,low,slipped,striations,,5mm,wheelmade,,reddish light medium,large,,1,4527.3496,7.7,outlier1,slipped late,17266
69,69,69,69,69,69,69,478130_4419430_1_70,N,38,478130,4419430,1,70,,coarse,"black, white and red",sand,medium,smoothed but deteriorated,smoothed,,medium,wheelmade,small exterior,reddish brown medium-1,,,0,,,,,16073
70,70,70,70,70,70,70,478130_4419430_1_71,N,38,478130,4419430,1,71,,medium,black and white,sand,medium,smoothed,rough,,medium,wheelmade,,brown light medium-1,,,0,,,,,15938
71,71,71,71,71,71,71,478130_4419430_1_72,N,38,478130,4419430,1,72,,medium,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,,reddish medium-2,,,0,,,,,73535
72,72,72,72,72,72,72,478130_4419430_1_73,N,38,478130,4419430,1,73,,medium,"black, white and grey",sand,medium,smoothed and deteriorated,rough,,medium,wheelmade,,brown dark medium-1,,,0,,,,,15699
73,73,73,73,73,73,73,478130_4419430_1_74,N,38,478130,4419430,1,74,jar body curve,small,black,sand,low,slipped and burnished,striations,,4.5mm,wheelmade,interior,grey dark fine,,,1,2780.8037,5.0,,LBA black burnished,17274
74,74,74,74,74,74,74,478130_4419430_1_75,N,38,478130,4419430,1,75,,coarse,black,sand,medium,smoothed,rough,,medium,wheelmade,,reddish brown medium-2,,,0,,,,,16047
75,75,75,75,75,75,75,478130_4419430_1_76,N,38,478130,4419430,1,76,,small,white,sand,low,rough,smoothed,,thick,handmade,,brown fine,small,,0,,,,,13032
76,76,76,76,76,76,76,478130_4419430_1_77,N,38,478130,4419430,1,77,,small,black,sand,low,smoothed,smoothed,,medium,wheelmade,,orange fine,,,0,,,,,84382
77,77,77,77,77,77,77,478130_4419430_1_78,N,38,478130,4419430,1,78,,medium,black and white,sand,low,smoothed,smoothed,,medium,wheelmade,,reddish medium-2,,,0,,,,,73537
78,78,78,78,78,78,78,478130_4419430_1_79,N,38,478130,4419430,1,79,,small,black and white,sand,low,smoothed,smoothed,,medium,wheelmade,,grey medium,partial exterior,,0,,,,,84384
79,79,79,79,79,79,79,478130_4419430_1_80,N,38,478130,4419430,1,80,,medium,"black, white and red",sand and organic,medium,smoothed,smoothed,,thick,handmade,,brown medium-1,partial,,0,,,,,16031
80,80,80,80,80,80,80,478130_4419430_1_81,N,38,478130,4419430,1,81,,medium,black and white,sand,low,smoothed,smoothed,,medium,wheelmade,,grey fine,,,0,,,,,84386
81,81,81,81,81,81,81,478130_4419430_1_82,N,38,478130,4419430,1,82,,small,black and red,sand,low,slipped,smoothed,,medium,wheelmade,,reddish medium-2,,,0,,,,,73539
82,82,82,82,82,82,82,478130_4419430_1_83,N,38,478130,4419430,1,83,,medium,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,small exterior,reddish brown medium,,,0,,,,,84388
83,83,83,83,83,83,83,478130_4419430_1_84,N,38,478130,4419430,1,84,,medium,black and white,sand,medium,smoothed with striations,striations,,thin,wheelmade,,reddish medium-2,small,,0,,,,,73543
84,84,84,84,84,84,84,478130_4419430_1_85,N,38,478130,4419430,1,85,,medium,black and gray,sand,medium,striations,smoothed,impressed,medium,wheelmade,,brown fine,small exterior,,0,,,,,15331
85,85,85,85,85,85,85,478130_4419430_1_86,N,38,478130,4419430,1,86,,medium,black and gray,sand,low,striations,smoothed,,thick,wheelmade,exterior,brown light medium-1,,,0,,,,,15936
86,86,86,86,86,86,86,478130_4419430_1_87,N,38,478130,4419430,1,87,jar body curve,medium,black and white,sand,medium,smoothed,rough,,5.5mm,wheelmade,,brown dark coarse-2,,,1,3847.1545,8.2,high fe,chunky jar,17214
87,87,87,87,87,87,87,478130_4419430_1_88,N,38,478130,4419430,1,88,jar body curve,coarse,black and white,sand and organic,high,smoothed with striations,rough,,6mm,,,brown light coarse-1,,,1,2395.8779,4.3,,chunky jar,17270
88,88,88,88,88,88,88,478130_4419430_1_89,N,38,478130,4419430,1,89,,medium,black and gray,sand,medium,smoothed,impressed,,medium,wheelmade,small exterior,reddish yellow medium,,,0,,,,,15635
89,89,89,89,89,89,89,478130_4419430_1_90,N,38,478130,4419430,1,90,,medium,black and gray,sand,medium,smoothed,rough,,medium,wheelmade,,reddish brown medium,,,0,,,,,84390
90,90,90,90,90,90,90,478130_4419430_1_91,N,38,478130,4419430,1,91,,medium,black,sand,medium,rough,smoothed,,medium,wheelmade,,grey medium,small,partial exterior,0,,,,,84392
91,91,91,91,91,91,91,478130_4419430_1_92,N,38,478130,4419430,1,92,,medium,black and white,sand,medium,rough,,,thick,wheelmade,interior,reddish brown dark medium,,small exterior,0,,,,,84394
92,92,92,92,92,92,92,478130_4419430_1_93,N,38,478130,4419430,1,93,,medium,"black, white and red",sand,medium,rough,rough,,thick,wheelmade,,reddish light medium,,,0,,,,,15555
93,93,93,93,93,93,93,478130_4419430_1_94,N,38,478130,4419430,1,94,,medium,black and white,sand,medium,smoothed,smoothed,incised lines,medium,wheelmade,exterior,reddish brown medium-1,,,0,,,,,73617
94,94,94,94,94,94,94,478130_4419430_1_95,N,38,478130,4419430,1,95,,small,black and gray,sand,low,smoothed,smoothed,,medium,handmade,both sides,brown dark fine,,,0,,,,,15430
95,95,95,95,95,95,95,478130_4419430_1_96,N,38,478130,4419430,1,96,,small,"black, white and red",sand,low,striations,striations,,thick,wheelmade,exterior,brown medium-1,,,0,,,,,16027
96,96,96,96,96,96,96,478130_4419430_1_97,N,38,478130,4419430,1,97,,medium,black,sand and organic,low,rough,rough,,medium,handmade,,brown dark medium-3,,,0,,,,,14403
97,97,97,97,97,97,97,478130_4419430_1_98,N,38,478130,4419430,1,98,carination,medium,black and white,sand,medium,smoothed with encrusted,smoothed,,thick,wheelmade,,brown medium-1,partial exterior,,0,,,,,16025
98,98,98,98,98,98,98,478130_4419430_1_99,N,38,478130,4419430,1,99,,medium,black and gray,sand,medium,smoothed,rough,,thin,wheelmade,small interior,reddish brown medium,,large interior,0,,,,,84396
99,99,99,99,99,99,99,478130_4419430_1_100,N,38,478130,4419430,1,100,,small,black and white,sand,low,smoothed,smoothed,,medium,handmade,interior,reddish fine,,,0,,,,,84398
100,100,100,100,100,100,100,478130_4419430_2_1,N,38,478130,4419430,2,1,,small,black,sand,low,slipped,,,thin,wheelmade,,brown medium-1,large interior,,0,,,,,16023
101,101,101,101,101,101,101,478130_4419430_2_2,N,38,478130,4419430,2,2,,,,sand,medium,rough,rough,,medium,handmade,both sides,black fine,partial interior,small exterior,0,,,,,16087
102,102,102,102,102,102,102,478130_4419430_2_3,N,38,478130,4419430,2,3,,medium,black and white,sand,low,smoothed,smoothed,,thick,wheelmade,both sides,brown medium-1,,,0,,,,,58115
103,103,103,103,103,103,103,478130_4419430_2_4,N,38,478130,4419430,2,4,outward thickened rim,,,,,,,,medium,wheelmade,,brown dark fine,large,,0,,,,,62034
104,104,104,104,104,104,104,478130_4419430_2_5,N,38,478130,4419430,2,5,outward thickened rim,small,,sand,low,smoothed,smoothed,,medium,wheelmade,exterior,brown light medium-2,small,small exterior,0,,,,,68266
105,105,105,105,105,105,105,478130_4419430_2_6,N,38,478130,4419430,2,6,,medium,black and white,sand,medium,rough,rough,,medium,wheelmade,exterior,brown light medium-1,small exterior,,0,,,,,15930
106,106,106,106,106,106,106,478130_4419430_2_7,N,38,478130,4419430,2,7,jar neck and handle,medium,black,sand,medium,smoothed,smoothed,,6mm,handmade,,reddish brown medium-2,partial,,1,55731.4336,102.5,outlier2,BA Handmade,17240
107,107,107,107,107,107,107,478130_4419430_2_8,N,38,478130,4419430,2,8,,medium,black and white,sand,medium,smoothed,,,medium,handmade,both sides,grey fine,,,0,,,,,15263
108,108,108,108,108,108,108,478130_4419430_2_9,N,38,478130,4419430,2,9,,medium,black and red,sand,medium,smoothed,,,medium,handmade,exterior,brown medium-2,small,large exterior,0,,,,,15967
109,109,109,109,109,109,109,478130_4419430_2_10,N,38,478130,4419430,2,10,,coarse,black and white,sand,medium,smoothed,smoothed,,medium,wheelmade,small interior,reddish brown dark coarse,,,0,,,,,84413
110,110,110,110,110,110,110,478130_4419430_2_11,N,38,478130,4419430,2,11,,medium,black,sand,low,slipped,rough,incised lines,medium,wheelmade,,brown light medium-1,,small interior,0,,,,,15928
111,111,111,111,111,111,111,478130_4419430_2_12,N,38,478130,4419430,2,12,,medium,red and grey,sand,medium,smoothed,,,thick,handmade,both sides,reddish brown medium,,,0,,,,,84411
112,112,112,112,112,112,112,478130_4419430_2_13,N,38,478130,4419430,2,13,,small,black,sand,low,smoothed,rough,,medium,wheelmade,exterior,brown dark medium-3,,small interior,0,,,,,84409
113,113,113,113,113,113,113,478130_4419430_2_14,N,38,478130,4419430,2,14,,coarse,"black, white and grey",sand and organic,medium,rough,rough,,medium,wheelmade,,brown dark coarse-1,,small exterior,0,,,,,15770
114,114,114,114,114,114,114,478130_4419430_2_15,N,38,478130,4419430,2,15,carination,small,white,sand,low,smoothed,smoothed,,medium,wheelmade,interior,black fine,,,0,,,,,86973
115,115,115,115,115,115,115,478130_4419430_2_16,N,38,478130,4419430,2,16,,small,black and white,sand,low,smoothed,striations,,medium,wheelmade,,brown light medium-1,,,0,,,,,15926
116,116,116,116,116,116,116,478130_4419430_2_17,N,38,478130,4419430,2,17,,medium,white,sand,low,slipped and cracked,smoothed and cracked,,thick,wheelmade,both sides,brown light medium-2,,,0,,,,,62040
117,117,117,117,117,117,117,478130_4419430_2_18,N,38,478130,4419430,2,18,carination,,,,low,,smoothed and deteriorated,,medium,handmade,both sides,brown dark medium-3,,,0,,,,,15291
118,118,118,118,118,118,118,478130_4419430_2_19,N,38,478130,4419430,2,19,curved,medium,black and white,sand and organic,high,rough,rough,,medium,handmade,,reddish medium-1,,,0,,,,,14369
119,119,119,119,119,119,119,478130_4419430_2_20,N,38,478130,4419430,2,20,,small,grey,sand,medium,rough,rough,,medium,wheelmade,both sides,black medium,small,small exterior,0,,,,,14721
120,120,120,120,120,120,120,478130_4419430_2_21,N,38,478130,4419430,2,21,,small,black and gray,sand,medium,smoothed,rough and encrusted,,medium,wheelmade,,reddish brown medium,small,,0,,,,,84415
121,121,121,121,121,121,121,478130_4419430_2_22,N,38,478130,4419430,2,22,,small,white,sand,medium,slipped,rough,,medium,wheelmade,,brown dark medium-1,,,1,,,,,83294
122,122,122,122,122,122,122,478130_4419430_2_23,N,38,478130,4419430,2,23,,medium,black and red,sand,medium,rough,,,medium,wheelmade,interior,reddish medium-2,,,0,,,,,73517
123,123,123,123,123,123,123,478130_4419430_2_24,N,38,478130,4419430,2,24,,coarse,grey,sand,medium,slipped,rough,,thick,,,reddish medium-1,large,large interior,0,,,,,84417
124,124,124,124,124,124,124,478130_4419430_2_25,N,38,478130,4419430,2,25,,small,"black, white and red",sand,medium,smoothed,,,thick,wheelmade,,slipped grey medium,large interior,,0,,,,,13864
125,125,125,125,125,125,125,478130_4419430_2_26,N,38,478130,4419430,2,26,,small,black,sand,medium,smoothed,,,medium,wheelmade,,reddish brown medium,,,0,,,,,84419
126,126,126,126,126,126,126,478130_4419430_2_27,N,38,478130,4419430,2,27,,small,black,sand,medium,,,,thick,wheelmade,both sides,brown light medium-1,small,,0,,,,,84421
127,127,127,127,127,127,127,478130_4419430_2_28,N,38,478130,4419430,2,28,,medium,black and white,sand and organic,medium,smoothed,rough,,thick,wheelmade,exterior,reddish brown medium,,,0,,,,,84423
128,128,128,128,128,128,128,478130_4419430_2_29,N,38,478130,4419430,2,29,,coarse,black,sand,medium,smoothed,striations,,thick,wheelmade,both sides,brown dark coarse-3,partial interior,,0,,,,,84447
129,129,129,129,129,129,129,478130_4419430_2_30,N,38,478130,4419430,2,30,,medium,black,sand,medium,smoothed,smoothed,,medium,wheelmade,,brown light medium-1,,,0,,,,,15922
130,130,130,130,130,130,130,478130_4419430_2_31,N,38,478130,4419430,2,31,,medium,white and grey,sand,low,smoothed,,,medium,wheelmade,,brown medium-1,,,0,,,,,62052
131,131,131,131,131,131,131,478130_4419430_2_32,N,38,478130,4419430,2,32,,small,white and grey,sand,medium,smoothed,smoothed,,medium,wheelmade,,grey fine,,,0,,,,,84449
132,132,132,132,132,132,132,478130_4419430_2_33,N,38,478130,4419430,2,33,,medium,black and red,sand,medium,rough,,,thick,handmade,exterior,reddish brown medium-1,small,small exterior,0,,,,,16069
133,133,133,133,133,133,133,478130_4419430_2_34,N,38,478130,4419430,2,34,,medium,black,sand,medium,smoothed,porous,,medium,wheelmade,exterior,brown dark medium-3,,small exterior,0,,,,,15358
134,134,134,134,134,134,134,478130_4419430_2_35,N,38,478130,4419430,2,35,,medium,black and white,sand,medium,smoothed with striations,smoothed,,medium,wheelmade,,brown dark medium-3,,,0,,,,,15360
135,135,135,135,135,135,135,478130_4419430_2_36,N,38,478130,4419430,2,36,,medium,black,sand,medium,slipped,rough,,medium,wheelmade,,brown medium-3,partial,partial exterior,0,,,,,84587
136,136,136,136,136,136,136,478130_4419430_2_37,N,38,478130,4419430,2,37,,coarse,white,sand,medium,rough,rough,,medium,handmade,,brown light coarse-2,partial exterior,large exterior,0,,,,,13995
137,137,137,137,137,137,137,478130_4419430_2_38,N,38,478130,4419430,2,38,,medium,white and grey,sand,medium,rough,smoothed,,medium,,exterior,brown dark medium-3,small,large exterior,0,,,,,84734
138,138,138,138,138,138,138,478130_4419430_2_39,N,38,478130,4419430,2,39,,small,black,sand,low,smoothed,smoothed,,medium,wheelmade,small exterior,reddish brown medium,partial,,0,,,,,84768
139,139,139,139,139,139,139,478130_4419430_2_40,N,38,478130,4419430,2,40,,small,,,medium,rough,encrusted,,medium,handmade,exterior,brown dark medium-3,large interior,,0,,,,,14821
140,140,140,140,140,140,140,478130_4419430_2_41,N,38,478130,4419430,2,41,,coarse,black red and white,sand,medium,smoothed,rough,incised lines,thick,wheelmade,,reddish brown coarse,,,0,,,,,84852
