,file_name,fabric
645,478130_4419430_3_386,72
646,478130_4419430_3_387,1
647,478130_4419430_3_388,48
648,478130_4419430_3_389,19
649,478130_4419430_3_390,31
650,478130_4419430_3_391,11
651,478130_4419430_3_392,41
652,478130_4419430_3_393,2
653,478130_4419430_3_394,41
654,478130_4419430_3_395,14
655,478130_4419430_3_396,41
656,478130_4419430_3_397,61
657,478130_4419430_3_398,4
658,478130_4419430_3_399,40
659,478130_4419430_3_400,68
660,478130_4419430_3_401,19
661,478130_4419430_3_402,45
662,478130_4419430_3_403,14
663,478130_4419430_3_404,14
664,478130_4419430_3_405,72
665,478130_4419430_4_1,8
666,478130_4419430_4_2,75
667,478130_4419430_4_3,20
668,478130_4419430_4_4,21
669,478130_4419430_4_5,18
670,478130_4419430_4_6,18
671,478130_4419430_4_7,16
672,478130_4419430_4_8,29
673,478130_4419430_4_9,37
674,478130_4419430_4_10,75
675,478130_4419430_4_11,24
676,478130_4419430_4_12,40
677,478130_4419430_4_13,24
678,478130_4419430_4_14,20
679,478130_4419430_4_15,21
680,478130_4419430_4_16,11
681,478130_4419430_4_17,82
682,478130_4419430_4_18,40
683,478130_4419430_4_19,9
684,478130_4419430_4_20,16
685,478130_4419430_4_21,40
686,478130_4419430_4_22,75
687,478130_4419430_4_23,28
688,478130_4419430_4_24,11
689,478130_4419430_4_25,8
690,478130_4419430_4_26,72
691,478130_4419430_4_27,16
692,478130_4419430_4_28,21
693,478130_4419430_4_29,72
694,478130_4419430_4_30,89
695,478130_4419430_4_31,14
696,478130_4419430_4_32,13
697,478130_4419430_4_33,80
698,478130_4419430_4_34,21
699,478130_4419430_4_35,13
700,478130_4419430_5_1,24
701,478130_4419430_5_2,13
702,478130_4419430_5_3,80
703,478130_4419430_5_4,13
704,478130_4419430_5_5,38
705,478130_4419430_5_6,30
706,478130_4419430_5_7,16
707,478130_4419430_5_8,15
708,478130_4419430_5_9,8
709,478130_4419430_5_10,80
710,478130_4419430_5_11,40
711,478130_4419430_5_12,21
712,478130_4419430_5_13,41
713,478130_4419430_5_14,40
714,478130_4419430_5_15,89
715,478130_4419430_5_16,85
716,478130_4419430_5_17,5
717,478130_4419430_5_18,80
718,478130_4419430_5_19,85
719,478130_4419430_5_20,41
720,478130_4419430_5_21,24
721,478130_4419430_5_22,41
722,478130_4419430_5_23,11
723,478130_4419430_5_24,41
724,478130_4419430_5_25,79
725,478130_4419430_5_27,40
726,478130_4419430_5_28,89
727,478130_4419430_5_29,79
728,478130_4419430_5_30,1
729,478130_4419430_5_31,89
730,478130_4419430_5_32,80
731,478130_4419430_5_33,41
732,478130_4419430_5_34,84
733,478130_4419430_5_35,13
734,478130_4419430_5_36,13
735,478130_4419430_5_37,8
736,478130_4419430_5_38,28
737,478130_4419430_5_39,24
738,478130_4419430_5_40,24
739,478130_4419430_5_41,80
740,478130_4419430_5_42,90
741,478130_4419430_5_43,89
742,478130_4419430_5_44,18
743,478130_4419430_5_45,28
744,478130_4419430_5_46,13
745,478130_4419430_5_47,41
746,478130_4419430_5_48,41
747,478130_4419430_5_49,68
748,478130_4419430_5_50,80
749,478130_4419430_5_51,21
750,478130_4419430_5_52,72
751,478130_4419430_5_53,21
752,478130_4419430_5_54,9
753,478130_4419430_5_55,9
754,478130_4419430_5_56,5
755,478130_4419430_5_57,9
756,478130_4419430_5_58,8
757,478130_4419430_5_59,62
758,478130_4419430_5_60,20
759,478130_4419430_5_61,79
760,478130_4419430_5_62,24
761,478130_4419430_5_63,86
762,478130_4419430_5_64,28
763,478130_4419430_5_65,69
764,478130_4419430_5_66,62
765,478130_4419430_5_67,80
766,478130_4419430_5_68,23
767,478130_4419430_5_69,25
768,478130_4419430_5_70,13
769,478130_4419430_5_71,14
770,478130_4419430_5_72,20
771,478130_4419430_5_73,41
772,478130_4419430_5_74,18
773,478130_4419430_5_75,11
774,478130_4419430_5_76,13
775,478130_4419430_5_77,13
776,478130_4419430_5_78,40
777,478130_4419430_5_79,25
778,478130_4419430_5_80,68
779,478130_4419430_5_81,41
780,478130_4419430_5_82,41
781,478130_4419430_5_83,24
782,478130_4419430_5_84,68
783,478130_4419430_5_85,52
784,478130_4419430_5_86,41
785,478130_4419430_5_87,89
786,478130_4419430_5_88,21
787,478130_4419430_5_89,25
788,478130_4419430_5_90,27
789,478130_4419430_5_91,82
790,478130_4419430_5_92,82
791,478130_4419430_5_93,3
792,478130_4419430_5_94,20
793,478130_4419430_5_95,82
794,478130_4419430_5_96,8
795,478130_4419430_5_97,8
796,478130_4419430_5_98,20
797,478130_4419430_5_99,38
798,478130_4419430_5_100,20
799,478130_4419430_5_101,52
800,478130_4419430_5_102,82
801,478130_4419430_5_103,38
802,478130_4419430_5_104,32
803,478130_4419430_5_105,37
804,478130_4419430_5_106,80
805,478130_4419430_5_107,1
806,478130_4419430_5_108,41
807,478130_4419430_5_109,20
808,478130_4419430_5_110,20
809,478130_4419430_5_111,84
810,478130_4419430_5_112,20
811,478130_4419430_5_113,89
812,478130_4419430_5_114,16
813,478130_4419430_5_115,8
814,478130_4419430_5_116,37
815,478130_4419430_5_117,89
816,478130_4419430_5_118,62
817,478130_4419430_5_119,85
818,478130_4419430_5_120,15
819,478130_4419430_5_121,62
820,478130_4419430_5_122,13
821,478130_4419430_5_123,80
822,478130_4419430_5_124,2
823,478130_4419430_5_125,13
824,478130_4419430_5_126,38
825,478130_4419430_5_127,37
826,478130_4419430_5_128,38
827,478130_4419430_5_129,3
828,478130_4419430_5_130,37
829,478130_4419430_5_131,37
830,478130_4419430_5_132,38
831,478130_4419430_5_133,2
832,478130_4419430_5_134,2
833,478130_4419430_5_135,37
834,478130_4419430_5_136,14
835,478130_4419430_5_137,35
836,478130_4419430_5_138,20
837,478130_4419430_5_139,8
838,478130_4419430_5_140,38
839,478130_4419430_5_141,9
840,478130_4419430_5_142,37
841,478130_4419430_5_143,40
842,478130_4419430_5_144,13
843,478130_4419430_5_145,16
844,478130_4419430_5_146,14
845,478130_4419430_5_147,38
846,478130_4419430_5_148,17
847,478130_4419430_5_149,38
848,478130_4419430_5_150,3
849,478130_4419430_5_151,20
850,478130_4419430_5_152,13
851,478130_4419430_5_153,18
852,478130_4419430_5_154,38
853,478130_4419430_5_155,63
854,478130_4419430_5_156,17
855,478130_4419430_5_157,3
856,478130_4419430_5_158,14
857,478130_4419430_5_159,25
858,478130_4419430_5_160,84
859,478130_4419430_5_161,89
860,478130_4419430_5_162,41
861,478130_4419430_5_163,40
862,478130_4419430_5_164,24
863,478130_4419430_5_165,41
864,478130_4419430_5_166,73
865,478130_4419430_5_167,20
866,478130_4419430_5_168,8
867,478130_4419430_5_169,13
868,478130_4419430_5_170,85
869,478130_4419430_5_171,40
870,478130_4419430_5_172,72
871,478130_4419430_5_173,38
872,478130_4419430_5_174,41
873,478130_4419430_5_175,16
874,478130_4419430_5_176,40
875,478130_4419430_5_177,38
876,478130_4419430_5_178,38
877,478130_4419430_5_179,14
878,478130_4419430_5_180,84
879,478130_4419430_5_181,20
880,478130_4419430_5_182,20
881,478130_4419430_5_183,38
882,478130_4419430_5_184,38
883,478130_4419430_5_185,24
884,478130_4419430_5_186,80
885,478130_4419430_5_187,3
886,478130_4419430_5_188,15
887,478130_4419430_5_189,79
888,478130_4419430_5_190,41
889,478130_4419430_5_191,77
890,478130_4419430_5_192,41
891,478130_4419430_5_193,13
892,478130_4419430_5_194,30
893,478130_4419430_5_195,13
894,478130_4419430_5_196,15
895,478130_4419430_5_197,41
896,478130_4419430_5_198,13
897,478130_4419430_6_1,21
898,478130_4419430_6_2,13
899,478130_4419430_6_3,5
900,478130_4419430_6_4,62
901,478130_4419430_6_5,91
902,478130_4419430_6_6,86
903,478130_4419430_6_7,41
904,478130_4419430_6_8,13
905,478130_4419430_6_9,40
906,478130_4419430_6_10,63
907,478130_4419430_6_11,82
908,478130_4419430_6_12,81
909,478130_4419430_6_13,81
910,478130_4419430_6_14,52
911,478130_4419430_6_15,13
912,478130_4419430_6_16,13
913,478130_4419430_6_17,13
914,478130_4419430_6_18,9
915,478130_4419430_6_19,41
916,478130_4419430_6_20,16
917,478130_4419430_6_21,30
918,478130_4419430_6_22,8
919,478130_4419430_6_23,62
920,478130_4419430_6_24,41
921,478130_4419430_6_25,1
922,478130_4419430_6_26,13
923,478130_4419430_6_27,24
924,478130_4419430_6_28,3
925,478130_4419430_6_29,3
926,478130_4419430_6_30,1
927,478130_4419430_6_31,62
928,478130_4419430_6_32,32
929,478130_4419430_6_33,15
930,478130_4419430_6_34,14
931,478130_4419430_6_35,1
